enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
CMD-1002,SGDCSTX-003,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDCSTX-004,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDCSTX_011,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDC_qualifier09,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDC_qualifier15,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDCSTX-004,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDCSTX_019,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDC_qualifier15,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1007,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1007,checkSGDC_nottogether01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1016,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1016,SGDCSTX_011,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-2085,SGDCSTX_007,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ReadFailed,SGDCSTX_019,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ReadFailed,SGDCSTX_020,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdInvalid,SGDCSTX_002,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdNoOptionInput,SGDC_cdc_false_path05,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_reset_synchronizer04,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_reset_synchronizer06,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_reset_synchronizer07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,FalsePathSetup,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_cdc_false_path06,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_cdc_false_path07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier02a,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier02c,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier03a,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier03c,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdEndingDoubleQuoteMissing,SGDCSTX_009,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOverride,SGDCWRN_123,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOverride,SGDC_reset_synchronizer10,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
OptionDependencyError,checkSGDC_together02,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
OptionDependencyError,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MultiArgsInvalid,SGDCSTX_012,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SetupClkPropagated,Propagate_Clocks,,,70,46,1,0,0,0.00%,105,51,1,0,0,0.00%,"Diff107-bug24_syntax1: msg: 1, case: 1","Diff84-synth16-unsynthesizable: msg: 1, case: 1","Diff107-bug24_syntax1: msg: 1, case: 1
Diff84-synth16-unsynthesizable: msg: 1, case: 1",,,
SetupClkNotPropagated,Propagate_Clocks,,,8,6,0,0,0,0.00%,105,51,1,0,0,0.00%,,"Diff84-synth16-unsynthesizable: msg: 1, case: 1","Diff84-synth16-unsynthesizable: msg: 1, case: 1",,,
SetupRstPropagated,Propagate_Resets,,,60,38,1,0,0,0.00%,76,42,5,0,0,0.00%,"Diff107-bug24_syntax1: msg: 1, case: 1","Diff84-synth16-unsynthesizable: msg: 5, case: 1","Diff107-bug24_syntax1: msg: 1, case: 1
Diff84-synth16-unsynthesizable: msg: 5, case: 1",,,
SetupRstNotPropagated,Propagate_Resets,,,11,9,0,0,0,0.00%,76,42,5,0,0,0.00%,,"Diff84-synth16-unsynthesizable: msg: 5, case: 1","Diff84-synth16-unsynthesizable: msg: 5, case: 1",,,
ClkSrcObjIllegal,SGDC_clock01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ClkSrcObjIllegal,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ClockNameExisted,SGDCWRN_121,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ClockNameExisted,SGDCWRN_123,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
RstSrcObjIllegal,SGDC_reset01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
RstNameExisted,SGDC_reset02,,,2,2,0,0,0,0.00%,2,1,1,0,0,0.00%,,"Diff104-bug23-wildcard: msg: 1, case: 1","Diff104-bug23-wildcard: msg: 2, case: 2",,,
RstNameExisted,SGDC_reset03,,,2,2,0,0,0,0.00%,2,1,1,0,0,0.00%,,"Diff104-bug23-wildcard: msg: 1, case: 1","Diff104-bug23-wildcard: msg: 2, case: 2",,,
CdcFalsePathUnmatched,SGDC_cdc_false_path06,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CdcFalsePathNoCrossing,FalsePathSetup,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CdcFalsePathOptionMissing,SGDC_cdc_false_path07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
RstSynchronizerUnused,SGDC_reset_synchronizer08,,,11,11,2,0,0,0.00%,9,9,0,0,0,0.00%,"Diff89-report12-ar-unused: msg: 2, case: 2",,"Diff89-report12-ar-unused: msg: 2, case: 2",,,
RstSynchronizerNotInFanoutPath,SGDC_reset_synchronizer02,,,11,11,0,0,0,0.00%,11,11,0,0,0,0.00%,,,,,,
RstSenseInvalid,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
RstSenseInvalid,SGDC_reset04,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
AbstractPortModuleUninstantiated,SGDC_abstract_port01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IpBlockModuleUninstantiated,SGDC_IP_block01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SyncCellFromToDomainSame,SGDC_sync_cell04,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
QualFromToDomainSame,SGDC_qualifier10,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
