enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
ChyAcSyncMultiTimes,Ac_coherency06,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SetupClockGlitch,Clock_glitch05,,,2,1,0,0,0,0.00%,4,2,2,0,0,0.00%,,"Diff56-irregular5-latch-infer_clk: msg: 2, case: 1","Diff56-irregular5-latch-infer_clk: msg: 2, case: 1",,,
IntegrityClockConverge,Clock_converge01,,,3,2,0,0,0,0.00%,4,3,1,0,0,0.00%,"pass-diff115-bug27-version_difference: msg: 3, case: 2","Diff142-synth29-udp: msg: 1, case: 1
pass-diff115-bug27-version_difference: msg: 3, case: 2","Diff142-synth29-udp: msg: 1, case: 1
pass-diff115-bug27-version_difference: msg: 3, case: 2",,,
ChySameSrcConvIncSeq,Ac_conv01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ChySameSrcConvExcSeq,Ac_conv02,,,4,3,0,0,0,0.00%,4,3,0,0,0,0.00%,,,,,,
ChyDiffSrcConv,Ac_conv03,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ChyCtrlBusNoConv,Ac_conv04,,,1,1,0,0,0,0.00%,1,1,0,0,0,0.00%,,,,,,
ChyDataBusDiffSyncScheme,Ac_conv04,,,0,0,0,0,0,0,1,1,0,0,0,0.00%,,,,,,
ChyDataBusDiffEnable,Ac_conv04,,,0,0,0,0,0,0,1,1,0,0,0,0.00%,,,,,,
IntegrityRstConvOnComb,Ar_converge01,,,7,4,0,0,0,0.00%,7,4,0,0,0,0.00%,,,,,,
SetupClkUndefined,Setup_clockreset01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SetupRstNotDefined,Setup_clockreset01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SetupClkInferred,Clock_info01,,,65,43,1,0,0,0.00%,90,46,1,0,0,0.00%,"Diff107-bug24_syntax1: msg: 1, case: 1","Diff84-synth16-unsynthesizable: msg: 1, case: 1
pass-diff81-synth15-unsynthesizable: msg: 25, case: 3","Diff107-bug24_syntax1: msg: 1, case: 1
Diff84-synth16-unsynthesizable: msg: 1, case: 1
pass-diff81-synth15-unsynthesizable: msg: 25, case: 3",,,
SetupClkNetUndefined,Clock_info03a,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SetupClkTiedToConst,Clock_info03c,,,0,0,0,0,0,0,8,1,0,0,0,0.00%,,"pass-diff81-synth15-unsynthesizable: msg: 8, case: 1","pass-diff81-synth15-unsynthesizable: msg: 8, case: 1",,,
SetupAsyncClkConvOnMux,Clock_info05,,,6,2,3,0,0,0.00%,6,2,3,0,0,0.00%,"Diff31-line_no: msg: 2, case: 1
Diff65-bug11-clock_info05: msg: 1, case: 1","Diff31-line_no: msg: 2, case: 1
Diff65-bug11-clock_info05: msg: 1, case: 1","Diff150-report22-conv: msg: 3, case: 1
Diff31-line_no: msg: 6, case: 1
Diff65-bug11-clock_info05: msg: 2, case: 1
Diff201-bug49-line_no: msg: 1, case: 1",,,
