enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
AcNoSyncScheme,,MissingSynchronizer,Qualifier not found,1827,1126,95,0,0,0.00%,1837,1163,119,0,0,0.00%,"Diff59-report4-multi_bits_merge: msg: 9, case: 7
Diff63-synth14-vague_match: msg: 14, case: 13
Diff80-report9-clock_clocklist: msg: 3, case: 1
Diff32-diff5-dest_qualifer: msg: 4, case: 4
Diff157-report23-clocklist: msg: 12, case: 7
Diff109-synth22-data_const: msg: 1, case: 1
Diff9-Multi_reasons1: msg: 2, case: 1
Diff45-bug7-cgic: msg: 1, case: 1
Diff67-diff11-latch: msg: 16, case: 16
Diff5-bug1-mux_latch: msg: 13, case: 13
Diff71-report6-black_box: msg: 3, case: 3
Diff83-infer_engine: msg: 2, case: 1
Diff107-bug24_syntax1: msg: 2, case: 2
Diff55-line_no: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 6, case: 3
Diff140-line_no6-conv: msg: 1, case: 1
Diff147-report21-multi_bits_merge: msg: 5, case: 2
Diff28-diff4-src_converge: msg: 4, case: 1
Diff18-irregular2-vclk: msg: 4, case: 4
Diff113-bug26-multi_bits_merge: msg: 1, case: 1
Diff61-diff9-clk_inferred: msg: 1, case: 1
Diff72-report7-multi_bits_merge: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 35, case: 14
pass-diff80-report9: msg: 187, case: 128
pass-diff157-report23-clocklist: msg: 7, case: 4
pass-diff147-report21-multi_bits_merge: msg: 8, case: 4
pass-diff63-syncth14: msg: 13, case: 10","Diff59-report4-multi_bits_merge: msg: 9, case: 7
Diff63-synth14-vague_match: msg: 8, case: 8
Diff80-report9-clock_clocklist: msg: 3, case: 1
Diff157-report23-clocklist: msg: 7, case: 4
Diff109-synth22-data_const: msg: 1, case: 1
Diff35-synth8-1&1'b1: msg: 12, case: 12
Diff5-bug1-mux_latch: msg: 26, case: 13
Diff125-diff20-logic_optimization: msg: 2, case: 2
Diff3-synth3-mux_and: msg: 3, case: 3
Diff71-report6-black_box: msg: 3, case: 3
Diff18-irregular2-vclk: msg: 34, case: 14
Diff55-line_no: msg: 1, case: 1
Diff140-line_no6-conv: msg: 1, case: 1
Diff147-report21-multi_bits_merge: msg: 2, case: 1
Diff22-Lint_error: msg: 1, case: 1
Diff61-diff9-clk_inferred: msg: 1, case: 1
Diff48-bug9-black_box-sync_cell: msg: 3, case: 3
Diff34-synth7-shift_register: msg: 1, case: 1
Diff38-diff6-clock_info05: msg: 1, case: 1
Diff104-bug23-wildcard: msg: 2, case: 2
Diff72-report7-multi_bits_merge: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 35, case: 14
pass-diff80-report9: msg: 187, case: 128
pass-diff63-syncth14: msg: 219, case: 198
pass-diff157-report23-clocklist: msg: 7, case: 4
pass-diff147-report21-multi_bits_merge: msg: 8, case: 4
pass-diff98-synth19-unsynthesizable: msg: 5, case: 1
pass-diff81-synth15-unsynthesizable: msg: 3, case: 1","Diff59-report4-multi_bits_merge: msg: 12, case: 7
Diff63-synth14-vague_match: msg: 14, case: 13
Diff80-report9-clock_clocklist: msg: 6, case: 1
Diff32-diff5-dest_qualifer: msg: 4, case: 4
Diff157-report23-clocklist: msg: 19, case: 7
Diff109-synth22-data_const: msg: 2, case: 1
Diff9-Multi_reasons1: msg: 2, case: 1
Diff35-synth8-1&1'b1: msg: 12, case: 12
Diff5-bug1-mux_latch: msg: 39, case: 26
Diff125-diff20-logic_optimization: msg: 2, case: 2
Diff45-bug7-cgic: msg: 1, case: 1
Diff67-diff11-latch: msg: 16, case: 16
Diff3-synth3-mux_and: msg: 3, case: 3
Diff71-report6-black_box: msg: 6, case: 3
Diff83-infer_engine: msg: 2, case: 1
Diff18-irregular2-vclk: msg: 38, case: 14
Diff107-bug24_syntax1: msg: 2, case: 2
Diff55-line_no: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 6, case: 3
Diff140-line_no6-conv: msg: 1, case: 1
Diff147-report21-multi_bits_merge: msg: 7, case: 2
Diff28-diff4-src_converge: msg: 4, case: 1
Diff113-bug26-multi_bits_merge: msg: 1, case: 1
Diff22-Lint_error: msg: 1, case: 1
Diff61-diff9-clk_inferred: msg: 2, case: 1
Diff48-bug9-black_box-sync_cell: msg: 3, case: 3
Diff34-synth7-shift_register: msg: 1, case: 1
Diff38-diff6-clock_info05: msg: 1, case: 1
Diff104-bug23-wildcard: msg: 2, case: 2
Diff72-report7-multi_bits_merge: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 35, case: 14
pass-diff80-report9: msg: 187, case: 128
pass-diff63-syncth14: msg: 232, case: 206
pass-diff157-report23-clocklist: msg: 7, case: 4
pass-diff147-report21-multi_bits_merge: msg: 8, case: 4
pass-diff98-synth19-unsynthesizable: msg: 5, case: 1
pass-diff81-synth15-unsynthesizable: msg: 3, case: 1",,,
AcNoSyncScheme,,SrcConverge,Sources from different domains converge before being synchronized,375,155,30,0,0,0.00%,713,181,323,0,0,0.00%,"Diff63-synth14-vague_match: msg: 1, case: 1
Diff9-Multi_reasons1: msg: 7, case: 3
Diff157-report23-clocklist: msg: 11, case: 6
Diff80-report9-clock_clocklist: msg: 8, case: 6
Diff147-report21-multi_bits_merge: msg: 6, case: 4
Diff59-report4-multi_bits_merge: msg: 1, case: 1
Diff71-report6-black_box: msg: 1, case: 1
Diff9-multi_reasons1: msg: 3, case: 2
pass-diff80-report9: msg: 53, case: 17
pass-diff63-syncth14: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 1, case: 1","Diff63-synth14-vague_match: msg: 3, case: 3
Diff157-report23-clocklist: msg: 14, case: 9
Diff202-synth-preserve_x: msg: 16, case: 8
Diff18-irregular2-vclk: msg: 7, case: 4
Diff115-bug27-version_difference: msg: 6, case: 3
Diff80-report9-clock_clocklist: msg: 99, case: 7
Diff147-report21-multi_bits_merge: msg: 253, case: 5
Diff59-report4-multi_bits_merge: msg: 4, case: 1
Diff71-report6-black_box: msg: 1, case: 1
Diff28-diff4-src_converge: msg: 160, case: 1
Diff5-bug1-mux_latch: msg: 18, case: 9
Diff12-diff1-src_converge: msg: 2, case: 2
pass-diff63-syncth14: msg: 16, case: 10
pass-diff80-report9: msg: 53, case: 17
pass-diff98-synth19-unsynthesizable: msg: 2, case: 1
pass-diff81-synth15-unsynthesizable: msg: 28, case: 2
diff59-report4-multi_bits_merge: msg: 1, case: 1","Diff63-synth14-vague_match: msg: 3, case: 3
Diff9-Multi_reasons1: msg: 7, case: 3
Diff157-report23-clocklist: msg: 25, case: 9
Diff202-synth-preserve_x: msg: 16, case: 8
Diff18-irregular2-vclk: msg: 7, case: 4
Diff115-bug27-version_difference: msg: 6, case: 3
Diff80-report9-clock_clocklist: msg: 107, case: 7
Diff147-report21-multi_bits_merge: msg: 259, case: 5
Diff59-report4-multi_bits_merge: msg: 5, case: 1
Diff71-report6-black_box: msg: 2, case: 1
Diff28-diff4-src_converge: msg: 160, case: 1
Diff5-bug1-mux_latch: msg: 18, case: 9
Diff12-diff1-src_converge: msg: 2, case: 2
Diff9-multi_reasons1: msg: 3, case: 2
pass-diff63-syncth14: msg: 17, case: 11
pass-diff80-report9: msg: 53, case: 17
pass-diff98-synth19-unsynthesizable: msg: 2, case: 1
pass-diff81-synth15-unsynthesizable: msg: 28, case: 2
diff59-report4-multi_bits_merge: msg: 1, case: 1",,,
AcSyncCtrlPath,,LongDelaySignal,does not require synchronization \(long-delay/quasi-static\),177,121,3,0,0,0.00%,183,127,9,0,0,0.00%,"Diff140-line_no6-conv: msg: 2, case: 2
Diff147-report21-multi_bits_merge: msg: 1, case: 1
pass-diff147-report21-multi_bits_merge: msg: 1, case: 1
pass-diff147-report21-multi_bits_merge false-bit: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 1, case: 1","Diff140-line_no6-conv: msg: 2, case: 2
Diff5-bug1-mux_latch: msg: 6, case: 6
Diff147-report21-multi_bits_merge: msg: 1, case: 1
pass-diff147-report21-multi_bits_merge: msg: 1, case: 1
pass-diff147-report21-multi_bits_merge false-bit: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 1, case: 1","Diff140-line_no6-conv: msg: 2, case: 2
Diff5-bug1-mux_latch: msg: 6, case: 6
Diff147-report21-multi_bits_merge: msg: 1, case: 1
pass-diff147-report21-multi_bits_merge: msg: 1, case: 1
pass-diff147-report21-multi_bits_merge false-bit: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 1, case: 1",,,
AcSyncCtrlPath,,MultiFlop,Conventional multi-flop,2845,2268,41,0,0,0.00%,3065,2292,258,0,0,0.00%,"Diff3-synth3-mux_and: msg: 26, case: 26
Diff59-report4-multi_bits_merge: msg: 6, case: 6
Diff75-line_no3: msg: 1, case: 1
Diff125-diff20-logic_optimization: msg: 2, case: 2
Diff140-line_no6-conv: msg: 2, case: 2
Diff104-bug23-wildcard: msg: 1, case: 1
Diff80-report9-clock_clocklist: msg: 3, case: 3
Diff76-diff14-clock_generate: msg: 1, case: 1
pass-diff3-synth3: msg: 26, case: 26
diff59-report4-multi_bits_merge: msg: 12, case: 6","Diff59-report4-multi_bits_merge: msg: 6, case: 6
Diff75-line_no3: msg: 1, case: 1
Diff62-diff10-operator: msg: 1, case: 1
Diff140-line_no6-conv: msg: 2, case: 2
Diff18-irregular2-vclk: msg: 242, case: 48
Diff4-interface: msg: 2, case: 2
Diff80-report9-clock_clocklist: msg: 3, case: 3
Diff76-diff14-clock_generate: msg: 1, case: 1
Diff125-diff20-logic_optimization: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 12, case: 6","Diff3-synth3-mux_and: msg: 26, case: 26
Diff59-report4-multi_bits_merge: msg: 6, case: 6
Diff75-line_no3: msg: 1, case: 1
Diff62-diff10-operator: msg: 1, case: 1
Diff125-diff20-logic_optimization: msg: 3, case: 3
Diff140-line_no6-conv: msg: 2, case: 2
Diff18-irregular2-vclk: msg: 242, case: 48
Diff104-bug23-wildcard: msg: 1, case: 1
Diff4-interface: msg: 2, case: 2
Diff80-report9-clock_clocklist: msg: 6, case: 3
Diff76-diff14-clock_generate: msg: 2, case: 1
pass-diff3-synth3: msg: 26, case: 26
diff59-report4-multi_bits_merge: msg: 12, case: 6",,,
AcSyncCtrlPath,,UserDefinedCell,synchronizing cell\(cell name : .*\),542,463,8,0,0,0.00%,542,463,8,0,0,0.00%,"Diff59-report4-multi_bits_merge: msg: 2, case: 2
Diff75-line_no3: msg: 1, case: 1
Diff140-line_no6-conv: msg: 1, case: 1
Diff48-bug9-black_box-sync_cell: msg: 3, case: 3
Diff71-report6-black_box: msg: 2, case: 2
diff59-report4-multi_bits_merge: msg: 4, case: 2
pass-diff147-report21-multi_bits_merge: msg: 2, case: 1","Diff59-report4-multi_bits_merge: msg: 2, case: 2
Diff75-line_no3: msg: 1, case: 1
Diff140-line_no6-conv: msg: 1, case: 1
Diff18-irregular2-vclk: msg: 1, case: 1
Diff71-report6-black_box: msg: 2, case: 2
Diff104-bug23-wildcard: msg: 2, case: 2
diff59-report4-multi_bits_merge: msg: 4, case: 2
pass-diff147-report21-multi_bits_merge: msg: 2, case: 1","Diff59-report4-multi_bits_merge: msg: 2, case: 2
Diff75-line_no3: msg: 1, case: 1
Diff140-line_no6-conv: msg: 1, case: 1
Diff18-irregular2-vclk: msg: 1, case: 1
Diff48-bug9-black_box-sync_cell: msg: 3, case: 3
Diff71-report6-black_box: msg: 4, case: 2
Diff104-bug23-wildcard: msg: 2, case: 2
diff59-report4-multi_bits_merge: msg: 4, case: 2
pass-diff147-report21-multi_bits_merge: msg: 2, case: 1",,,
AcSyncCtrlPath,,UserDefinedQual,qualifier .* defined on destination,27,27,0,0,0,0.00%,27,27,0,0,0,0.00%,,,,,,
AcSyncDataPath,,CGICAutoInferred,Clock Gate Synchronization \(auto-detected clock gating\),178,163,7,0,0,0.00%,173,158,10,0,0,0.00%,"Diff59-report4-multi_bits_merge: msg: 2, case: 2
Diff75-line_no3: msg: 1, case: 1
Diff35-synth8-1&1'b1: msg: 3, case: 3
Diff140-line_no6-conv: msg: 1, case: 1
Diff104-bug23-wildcard: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 8, case: 4","Diff5-bug1-mux_latch: msg: 6, case: 6
Diff59-report4-multi_bits_merge: msg: 2, case: 2
Diff75-line_no3: msg: 1, case: 1
Diff45-bug7-cgic: msg: 1, case: 1
Diff140-line_no6-conv: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 8, case: 4","Diff5-bug1-mux_latch: msg: 6, case: 6
Diff59-report4-multi_bits_merge: msg: 2, case: 2
Diff75-line_no3: msg: 1, case: 1
Diff35-synth8-1&1'b1: msg: 3, case: 3
Diff45-bug7-cgic: msg: 1, case: 1
Diff140-line_no6-conv: msg: 1, case: 1
Diff104-bug23-wildcard: msg: 1, case: 1
diff59-report4-multi_bits_merge: msg: 8, case: 4",,,
AcSyncDataPath,,CGICLibraryCell,Clock Gate Synchronization \(library clock gating cell\),2,2,0,0,0,0.00%,2,2,0,0,0,0.00%,"pass-diff63-syncth14: msg: 2, case: 2","pass-diff63-syncth14: msg: 2, case: 2","pass-diff63-syncth14: msg: 2, case: 2",,,
AcSyncDataPath,,CGICUserDefinedCell,Clock Gate Synchronization \(user-defined clock gating cell\),20,5,10,0,0,0.00%,20,5,10,0,0,0.00%,"Diff59-report4-multi_bits_merge: msg: 10, case: 5
diff59-report4-multi_bits_merge: msg: 20, case: 5","Diff59-report4-multi_bits_merge: msg: 10, case: 5
diff59-report4-multi_bits_merge: msg: 20, case: 5","Diff59-report4-multi_bits_merge: msg: 10, case: 5
diff59-report4-multi_bits_merge: msg: 20, case: 5",,,
AcSyncDataPath,,CGICUserDefinedQual,Clock Based User-Defined Qualifier,20,10,3,0,0,0.00%,20,10,3,0,0,0.00%,"Diff140-line_no6-conv: msg: 3, case: 3
pass-diff63-syncth14: msg: 20, case: 10","Diff140-line_no6-conv: msg: 3, case: 3
pass-diff63-syncth14: msg: 20, case: 10","Diff140-line_no6-conv: msg: 3, case: 3
pass-diff63-syncth14: msg: 20, case: 10",,,
