enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
CMD-1002,SGDCSTX-003,,,159,78,5,0,0,0.00%,0,0,0,0,0,0,"Diff500-built_in-031-??-Diff500-tcl-built_in-031: msg: 1, case: 1
Diff500-built_in-050-??-Diff500-tcl-built_in-050: msg: 2, case: 2
Diff500-built_in-018-??-Diff500-diff-built_in-018: msg: 2, case: 2",,"Diff500-built_in-031-??-Diff500-tcl-built_in-031: msg: 1, case: 1
Diff500-built_in-050-??-Diff500-tcl-built_in-050: msg: 2, case: 2
Diff500-built_in-018-??-Diff500-diff-built_in-018: msg: 2, case: 2",,,
CMD-1005,SGDCSTX-004,,,7,7,0,0,0,0.00%,0,0,0,0,0,0,,,,,,
CMD-1005,SGDCSTX_011,,,7,7,0,0,0,0.00%,10,10,0,0,0,0.00%,,,,,,
CMD-1005,SGDC_qualifier09,,,7,7,0,0,0,0.00%,46,32,0,0,0,0.00%,,,,,,
CMD-1005,SGDC_qualifier15,,,7,7,0,0,0,0.00%,12,11,0,0,0,0.00%,,,,,,
CMD-1006,SGDCSTX-004,,,75,67,0,0,0,0.00%,0,0,0,0,0,0,,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1006,SGDCSTX_008,,,75,67,0,0,0,0.00%,132,87,1,0,0,0.00%,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1006,SGDCSTX_019,,,75,67,0,0,0,0.00%,17,17,0,0,0,0.00%,,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1006,SGDC_qualifier15,,,75,67,0,0,0,0.00%,12,11,0,0,0,0.00%,,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1007,SGDCSTX_008,,,28,14,0,0,0,0.00%,132,87,1,0,0,0.00%,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1007,checkSGDC_nottogether01,,,28,14,0,0,0,0.00%,25,11,0,0,0,0.00%,,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
CMD-1016,SGDCSTX_008,,,75,51,0,0,0,0.00%,132,87,1,0,0,0.00%,,"Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1","Diff500-built_in-022-??-Diff500-tcl-built_in-022: msg: 1, case: 1",,,
