enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
ChyAcSyncMultiTimes,Ac_coherency06,,,12,10,0,0,0,0.00%,12,10,0,0,0,0.00%,,,,,,
SetupClockGlitch,Clock_glitch05,,,29,15,2,0,0,0.00%,28,14,1,0,0,0.00%,"Diff5-bug1-mux_latch: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 1, case: 1","Diff115-bug27-version_difference: msg: 1, case: 1","Diff5-bug1-mux_latch: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 2, case: 1",,,
IntegrityClockConverge,Clock_converge01,,,24,17,8,0,0,0.00%,28,21,12,0,0,0.00%,"Diff75-line_no3: msg: 3, case: 3
Diff112-irregular7-clock_coverge: msg: 4, case: 3
Diff110-bug25-clock_coverge: msg: 1, case: 1
pass-diff115-bug27-version_difference: msg: 19, case: 15","Diff105-synth20-clock_coverge: msg: 1, case: 1
Diff75-line_no3: msg: 3, case: 3
Diff5-bug1-mux_latch: msg: 2, case: 2
Diff112-irregular7-clock_coverge: msg: 4, case: 3
Diff149-synth31-logic_optimization-data_const: msg: 2, case: 1
pass-diff115-bug27-version_difference: msg: 19, case: 15","Diff105-synth20-clock_coverge: msg: 1, case: 1
Diff75-line_no3: msg: 3, case: 3
Diff5-bug1-mux_latch: msg: 2, case: 2
Diff112-irregular7-clock_coverge: msg: 8, case: 3
Diff110-bug25-clock_coverge: msg: 1, case: 1
Diff149-synth31-logic_optimization-data_const: msg: 2, case: 1
pass-diff115-bug27-version_difference: msg: 19, case: 15",,,
ChySameSrcConvIncSeq,Ac_conv01,,,196,91,3,0,0,0.00%,195,90,2,0,0,0.00%,"Diff115-bug27-version_difference: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 1, case: 1
Diff143-bug35-conv: msg: 1, case: 1","Diff198-synth41-conv_enable_dff: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 1, case: 1","Diff198-synth41-conv_enable_dff: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 2, case: 1
Diff143-bug35-conv: msg: 1, case: 1",,,
ChySameSrcConvExcSeq,Ac_conv02,,,287,159,7,0,0,0.00%,285,157,5,0,0,0.00%,"Diff198-synth41-conv_enable_dff: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 1, case: 1
Diff150-report22-conv: msg: 1, case: 1
Diff31-line_no: msg: 3, case: 3
pass-diff121-bug29: msg: 10, case: 10","Diff112-irregular7-clock_coverge: msg: 1, case: 1
Diff150-report22-conv: msg: 1, case: 1
Diff31-line_no: msg: 3, case: 3
pass-diff121-bug29: msg: 10, case: 10","Diff198-synth41-conv_enable_dff: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 2, case: 1
Diff150-report22-conv: msg: 2, case: 1
Diff31-line_no: msg: 6, case: 3
pass-diff121-bug29: msg: 10, case: 10",,,
ChyDiffSrcConv,Ac_conv03,,,6,6,0,0,0,0.00%,6,6,0,0,0,0.00%,,,,,,
ChyCtrlBusNoConv,Ac_conv04,,,89,75,19,0,0,0.00%,101,76,18,0,0,0.00%,"Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff126-bug31-conv: msg: 2, case: 2","Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff5-bug1-mux_latch: msg: 1, case: 1","Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff126-bug31-conv: msg: 2, case: 2
Diff5-bug1-mux_latch: msg: 1, case: 1",,,
ChyDataBusDiffSyncScheme,Ac_conv04,,,1,1,0,0,0,0.00%,101,76,18,0,0,0.00%,,"Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff5-bug1-mux_latch: msg: 1, case: 1","Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff5-bug1-mux_latch: msg: 1, case: 1",,,
ChyDataBusDiffEnable,Ac_conv04,,,12,12,0,0,0,0.00%,101,76,18,0,0,0.00%,,"Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff5-bug1-mux_latch: msg: 1, case: 1","Diff75-line_no3: msg: 16, case: 16
Diff140-line_no6-conv: msg: 1, case: 1
Diff5-bug1-mux_latch: msg: 1, case: 1",,,
IntegrityRstConvOnComb,Ar_converge01,,,46,13,2,0,0,0.00%,45,13,1,0,0,0.00%,"Diff96-bug20-ar: msg: 2, case: 1","Diff34-synth7-shift_register: msg: 1, case: 1","Diff34-synth7-shift_register: msg: 1, case: 1
Diff96-bug20-ar: msg: 2, case: 1",,,
