enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
ChyAcSyncMultiTimes,Ac_coherency06,,,84,71,4,0,0,0.00%,80,67,0,0,0,0.00%,"Diff3-synth3-mux_and: msg: 3, case: 3
Diff35-synth8-1&1'b1: msg: 3, case: 3
Diff125-diff20-logic_optimization: msg: 1, case: 1",,"Diff3-synth3-mux_and: msg: 3, case: 3
Diff35-synth8-1&1'b1: msg: 3, case: 3
Diff125-diff20-logic_optimization: msg: 1, case: 1",,,
SetupClockGlitch,Clock_glitch05,,,135,86,6,0,0,0.00%,139,87,10,0,0,0.00%,"Diff115-bug27-version_difference: msg: 4, case: 4
Diff5-bug1-mux_latch: msg: 2, case: 2","Diff115-bug27-version_difference: msg: 4, case: 4
Diff500-built_in-003: msg: 3, case: 1
Diff56-irregular5-latch-infer_clk: msg: 3, case: 2","Diff115-bug27-version_difference: msg: 8, case: 4
Diff500-built_in-003: msg: 3, case: 1
Diff56-irregular5-latch-infer_clk: msg: 3, case: 2
Diff5-bug1-mux_latch: msg: 2, case: 2",,,
IntegrityClockConverge,Clock_converge01,,,134,111,38,0,0,0.00%,138,117,42,0,0,0.00%,"Diff75-line_no3: msg: 18, case: 18
Diff110-bug25-clock_coverge: msg: 4, case: 3
Diff5-bug1-mux_latch: msg: 7, case: 7
Diff24-synth4-mux_and: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 8, case: 6
pass-diff115-bug27-version_difference: msg: 114, case: 99","Diff105-synth20-clock_coverge: msg: 3, case: 3
Diff75-line_no3: msg: 18, case: 18
Diff192-diff35-logic_optimization: msg: 7, case: 5
Diff95-synth19-data_const: msg: 1, case: 1
Diff142-synth29-udp: msg: 1, case: 1
Diff5-bug1-mux_latch: msg: 4, case: 4
Diff112-irregular7-clock_coverge: msg: 8, case: 6
pass-diff115-bug27-version_difference: msg: 114, case: 99","Diff105-synth20-clock_coverge: msg: 3, case: 3
Diff75-line_no3: msg: 18, case: 18
Diff110-bug25-clock_coverge: msg: 4, case: 3
Diff5-bug1-mux_latch: msg: 11, case: 11
Diff192-diff35-logic_optimization: msg: 7, case: 5
Diff95-synth19-data_const: msg: 1, case: 1
Diff142-synth29-udp: msg: 1, case: 1
Diff24-synth4-mux_and: msg: 1, case: 1
Diff112-irregular7-clock_coverge: msg: 16, case: 6
pass-diff115-bug27-version_difference: msg: 114, case: 99",,,
ChySameSrcConvIncSeq,Ac_conv01,,,402,192,5,0,0,0.00%,409,192,11,0,0,0.00%,"Diff122-bug30-conv: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 2, case: 2
Diff143-bug35-conv: msg: 2, case: 2
pass-Diff150-report22_conv: msg: 2, case: 2","Diff156-bug40-conv: msg: 1, case: 1
Diff198-synth41-conv_enable_dff: msg: 10, case: 3
pass-diff128-synth25-unsynthesizable-lint_error_STARC05-2.5.1.5a: msg: 1, case: 1
pass-Diff150-report22_conv: msg: 2, case: 2","Diff156-bug40-conv: msg: 1, case: 1
Diff198-synth41-conv_enable_dff: msg: 10, case: 3
Diff122-bug30-conv: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 2, case: 2
Diff143-bug35-conv: msg: 2, case: 2
pass-diff128-synth25-unsynthesizable-lint_error_STARC05-2.5.1.5a: msg: 1, case: 1
pass-Diff150-report22_conv: msg: 2, case: 2",,,
ChySameSrcConvExcSeq,Ac_conv02,,,688,417,20,0,0,0.00%,674,410,6,0,0,0.00%,"Diff198-synth41-conv_enable_dff: msg: 10, case: 3
Diff122-bug30-conv: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 3, case: 3
Diff31-line_no: msg: 6, case: 6
pass-Diff31-line_no: msg: 1, case: 1
pass-Diff150-report22_conv: msg: 5, case: 5
pass-diff121-bug29: msg: 20, case: 20","Diff31-line_no: msg: 6, case: 6
pass-Diff31-line_no: msg: 1, case: 1
pass-Diff150-report22_conv: msg: 5, case: 5
pass-diff121-bug29: msg: 20, case: 20","Diff198-synth41-conv_enable_dff: msg: 10, case: 3
Diff122-bug30-conv: msg: 1, case: 1
Diff115-bug27-version_difference: msg: 3, case: 3
Diff31-line_no: msg: 12, case: 6
pass-Diff31-line_no: msg: 1, case: 1
pass-Diff150-report22_conv: msg: 5, case: 5
pass-diff121-bug29: msg: 20, case: 20",,,
ChyDiffSrcConv,Ac_conv03,,,185,90,5,0,0,0.00%,185,90,5,0,0,0.00%,"Diff115-bug27-version_difference: msg: 1, case: 1
Diff121-bug29-conv: msg: 2, case: 2
Diff112-irregular7-clock_coverge: msg: 1, case: 1
Diff122-bug30-conv: msg: 1, case: 1","Diff121-bug29-conv: msg: 2, case: 2
Diff112-irregular7-clock_coverge: msg: 1, case: 1
Diff18-irregular2-vclk: msg: 2, case: 2","Diff115-bug27-version_difference: msg: 1, case: 1
Diff121-bug29-conv: msg: 4, case: 2
Diff112-irregular7-clock_coverge: msg: 2, case: 1
Diff122-bug30-conv: msg: 1, case: 1
Diff18-irregular2-vclk: msg: 2, case: 2",,,
ChyCtrlBusNoConv,Ac_conv04,,,435,388,106,0,0,0.00%,523,412,105,0,0,0.00%,"Diff75-line_no3: msg: 92, case: 91
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff126-bug31-conv: msg: 4, case: 4","Diff75-line_no3: msg: 92, case: 91
Diff24-synth4-mux_and: msg: 1, case: 1
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff5-bug1-mux_latch: msg: 2, case: 2","Diff75-line_no3: msg: 92, case: 91
Diff24-synth4-mux_and: msg: 1, case: 1
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff126-bug31-conv: msg: 4, case: 4
Diff5-bug1-mux_latch: msg: 2, case: 2",,,
ChyDataBusDiffSyncScheme,Ac_conv04,,,14,14,0,0,0,0.00%,523,412,105,0,0,0.00%,,"Diff75-line_no3: msg: 92, case: 91
Diff24-synth4-mux_and: msg: 1, case: 1
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff5-bug1-mux_latch: msg: 2, case: 2","Diff75-line_no3: msg: 92, case: 91
Diff24-synth4-mux_and: msg: 1, case: 1
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff5-bug1-mux_latch: msg: 2, case: 2",,,
ChyDataBusDiffEnable,Ac_conv04,,,85,74,10,0,0,0.00%,523,412,105,0,0,0.00%,"Diff78-bug15-and_gate: msg: 4, case: 2
Diff119-multi_reasons13-and_gate: msg: 1, case: 1
Diff126-bug31-conv: msg: 5, case: 5","Diff75-line_no3: msg: 92, case: 91
Diff24-synth4-mux_and: msg: 1, case: 1
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff5-bug1-mux_latch: msg: 2, case: 2","Diff75-line_no3: msg: 92, case: 91
Diff24-synth4-mux_and: msg: 1, case: 1
Diff140-line_no6-conv: msg: 3, case: 3
Diff124-diff20-reset_info01_15: msg: 7, case: 7
Diff124-diff20-reset_info01_03: msg: 7, case: 7
Diff78-bug15-and_gate: msg: 4, case: 2
Diff119-multi_reasons13-and_gate: msg: 1, case: 1
Diff126-bug31-conv: msg: 5, case: 5
Diff5-bug1-mux_latch: msg: 2, case: 2",,,
IntegrityRstConvOnComb,Ar_converge01,,,198,94,6,0,0,0.00%,251,98,59,0,0,0.00%,"Diff96-bug20-ar: msg: 6, case: 2","Diff34-synth7-shift_register: msg: 4, case: 4
Diff192-diff35-logic_optimization: msg: 2, case: 2
Diff117-bug28-ar: msg: 53, case: 1","Diff34-synth7-shift_register: msg: 4, case: 4
Diff192-diff35-logic_optimization: msg: 2, case: 2
Diff117-bug28-ar: msg: 53, case: 1
Diff96-bug20-ar: msg: 6, case: 2",,,
